21:02:31:020 [WARN]	SSL certificate signed by unknown CA
21:02:31:021 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
21:02:31:023 [WARN]	SSL certificate signed by unknown CA
21:02:31:023 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
21:02:31:029 [WARN]	SSL certificate signed by unknown CA
21:02:31:029 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
21:02:31:030 [WARN]	SSL certificate signed by unknown CA
21:02:31:030 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
21:02:31:031 [WARN]	SSL certificate signed by unknown CA
21:02:31:031 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
21:02:31:032 [WARN]	SSL certificate signed by unknown CA
21:02:31:032 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
21:02:31:034 [WARN]	SSL certificate signed by unknown CA
21:02:31:034 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
21:02:31:035 [WARN]	SSL certificate signed by unknown CA
21:02:31:035 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
21:02:31:041 [WARN]	SSL certificate signed by unknown CA
21:02:31:042 [WARN]	SSL certificate signed by unknown CA
21:02:31:042 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
21:02:31:042 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
